N;Fecha;Rival;Estadio;Resulltado;Goles;Minutos;TG;Asistido por;A;Minuto;Competencia;Notas;PR;BA;Mj;Temporada
576;19/04/2017;Juventus F.C.;Camp Nou;0-0466?;;;;;;;Liga de Campeones 2016-17 CF Vuelta;;Gianluigi Buffon;;90;2016/17424?
589;12/09/2017;Juventus F.C.;Camp Nou;3-0479?;2 (1-0, 3-0);45, 69;z (2);Suárez, Iniesta;;;Liga de Campeones 2017-18 FG J1; 54';;;90;2017/18475?
602;22/11/2017;Juventus F.C.;Juventus Stadium;0-0489?;;;;;;;Liga de Campeones 2017-18 FG;;;;35;2017/18475?
738;28/10/2020;Juventus F.C.;Juventus Stadium;2-0583?;1 (2-0);90+1;p;;1;14;Liga de Campeones 2020-21 FG J2;;;Dembélé;90;2020/21578?
745;08/12/2020;Juventus F.C.;Camp Nou;0-3586?;;;;;;;Liga de Campeones 2020-21 FG J6;;;;90;2020/21578?
820;6.9.2022;Juventus F.C.;Parc des Princes;02-ene;;;;;;;Liga de Campeones 2022-23 FG;;;-;;2022-23609?
830;2.11.2022;Juventus F.C.;Juventus Stadium;02-ene;;;;;1;;Liga de Campeones 2022-23 FG;;;;;2022-23609?
784;19.10.2021;Leipzig;Parc des Princes;03-feb;2 (2-2, 3-2);67, 74;z, p;-;-;-;Liga de Campeones 2021-22 FG;;;-;90;2021-22
847;15.4.2023;Lens;Parc des Princes;03-ene;1;;;Kylian Mbappé;;;Ligue 1 2022-23 Jornada 31;;;;;2022-23609?
7;21/12/2004;Levante U. D.;Camp Nou;2-19?;-;-;-;-;-;-;La Liga 2004/05 Jornada 17; 58' Damià;;-;33;2004/053?
64;29/04/2007;Levante U. D.;Camp Nou;1-068?;-;;-;-;-;-;La Liga 2006/07 Jornada 32;;;;90;2006/0739?
76;29/09/2007;Levante U. D.;Ciudad de Valencia;4-181?;1 (4-0);51;z;Deco;1 (2-0);24;La Liga 2007/08 Jornada 6;;;Henry;;2007/0876?
99;24/02/2008;Levante U. D.;Camp Nou;5-1104?;1 (2-1);44;z;Xavi;2 (3-1, 4-1);56, 62;La Liga 2007/08 Jornada 25; 80';;;;2007/0876?
268;11/05/2011;Levante U. D.;Ciudad de Valencia;01-ene;;;-;;-;-;Liga BBVA 2010/11 Jornada 36;;;;;2010/11188?
292;03/12/2011;Levante U. D.;Camp Nou;5-0235?;1 (4-0);55;z;Dani Alves;1;61;Liga BBVA 2011/12 Jornada 15;;;Alexis;;2011/12218?
321;14/04/2012;Levante U. D.;Ciudad de Valencia;02-ene;2 (1-1, 2-1);64, 72;z, p;Alexis;-;-;Liga BBVA 2011/12 Jornada 34;;;;;2011/12218?
349;25/11/2012;Levante U. D.;Ciudad de Valencia;4-0;2 (1-0, 2-0);47, 52;z (2);Iniesta (2);-;-;Liga BBVA 2012/13 Jornada 13;;;;;2012/13263?
380;18/08/2013;Levante U. D.;Camp Nou;7-0293?;2 (2-0, 5-0);12, 42;z, p;Pedro;1 (4-0);26;Liga BBVA 2013/14 Jornada 1; 69 Iniesta';;Pedro;69;2013/14294?
399;19/01/2014;Levante U. D.;Ciudad de Valencia;1-1313?;-;-;-;-;-;-;Liga BBVA 2013/14 Jornada 20;-;;-;90;2013/14294?
400;21/01/2014;Levante U. D.;Ciudad de Valencia;4-1314?;-;-;-;-;3 (2-1, 3-1, 4-1);60, 81, 86;Copa del Rey 2013/14 Cuartos Ida;-;;Tello (3);90;2013/14294?
430;21/09/2014;Levante U. D.;Ciudad de Valencia;5-0345?;1 (5-0);77;d;-;2 (1-0,);34 y 57;Liga BBVA 2014/15 Jornada 4;;;Neymar;90;2014/15341?
458;15/02/2015;Levante U. D.;Camp Nou;5-0372?;3 (2-0, 3-0, 4-0);38, 59, 66;d (2), p;Bartra, Pedro;1 (1-0);17;Liga BBVA 2014/15 Jornada 23;;;Neymar;90;2014/15341?
490;20/09/2015;Levante U. D.;Camp Nou;4-1397?;2 (3-0, 4-1);61, 90;p, z;;1 (1-0);50;Liga BBVA 2015/16 Jornada 4;;;Bartra;90;2015/16391?
510;07/02/2016;Levante U. D.;Ciudad de Valencia;2-0;-;-;;;1;90+3;Liga BBVA 2015/16 Jornada 23;;;Luis Suárez;90;2015/16391?
609;07/01/2018;Levante U. D.;Camp Nou;3-0;1 (1-0);12;z;Jordi Alba;1;90+3;LaLiga Santander 2017-18 Jornada 18;;;Paulinho;90;2017/18475?
656;16/12/2018;Levante U. D.;Ciutat de Valencia;5-0523?;3 (2-0, 3-0, 4-0);43, 47, 60;d, z (2);Busquets, Arturo Vidal;2 (1-0, 5-0);35, 88;LaLiga Santander 2018-19 Jornada 16;;;Luis Suárez, Piqué;;2018/19512?
660;17/01/2019;Levante U. D.;Camp Nou;3-0524?;1 (3-0);54;z;Semedo;1;31;Copa del Rey 2018-19 Octavos Vuelta;-;;Dembélé;90;2018/19512?
682;27/04/2019;Levante U. D.;Camp Nou;1-0;1;62;z;Arturo Vidal;-;-;LaLiga Santander 2018-19 Jornada 35; 46 Coutinho';;-;44;2018/19512?
696;02/11/2019;Levante U. D.;Ciutat de València;1-3551?;1 (1-0);38;p;-;-;-;LaLiga Santander 2019-20 Jornada 12;-;;;90;2019/20544?
711;02/02/2020;Levante U. D.;Camp Nou;2-1563?;-;-;-;-;2;30, 32;LaLiga Santander 2019-20 Jornada 22;-;;Ansu Fati (2);90;2019/20544?
746;12/12/2020;Levante U. D.;Camp Nou;1-0;1;76;z;de Jong;-;-;LaLiga Santander 2020-21 Jornada 13;;;;90;2020/21578?
777;11.5.2021;Levante U. D.;Ciutat de Valencia;3-3608?;1 (1-0);25;;;;;LaLiga Santander 2020-21 Jornada 36;;;;;2020/21578?
839;19.2.2023;Lille;Parc des Princes;04-mar;1;;;;;;Ligue 1 2022-23 Jornada 24;;;;;2022-23609?
797;6.2.2022;Lille O.S.C;Pierre-Mauroy;05-ene;1 (3-1);38;z;;1 (2-1);32;Ligue 1 2021-22 Jornada 23;;;Kimpembe;90;2021-22
816;21.8.2022;Lille O.S.C;Pierre-Mauroy;07-ene;1;27;;Nuno Mendes;1;;Ligue 1 2022-23 Jornada 3;;;;;2022-23609?
786;29.10.2021;Lille O.S.C.;Parc des Princes;02-ene;;;;;;;Ligue 1 2021-22 Jornada 12;;;-;45;2021-22
52;21/02/2007;Liverpool F.C.;Camp Nou;1-256?;;;-;;-;-;Liga de Campeones 2006/07 1/8 Ida;;Pepe Reina;;90;2006/0739?
56;06/03/2007;Liverpool F.C.;Anfield;1-060?;;;-;;-;-;Liga de Campeones 2006/07 1/8 Vuelta;;Pepe Reina;;90;2006/0739?
683;01/05/2019;Liverpool F.C.;Camp Nou;3-0540?;2 (2-0, 3-0);75, 82;r, TL;-;-;-;Liga de Campeones 2018-19 SF Ida;-;;-;90;2018/19512?
684;07/05/2019;Liverpool F.C.;Anfield;0-4541?;-;-;-;-;-;-;Liga de Campeones 2018-19 SF Vuelta;-;Alisson Becker;-;90;2018/19512?
849;30.4.2023;Lorient;Parc des Princes;01-mar;;;;;;;Ligue 1 2022-23 Jornada 33;;;;;2022-23609?
864;3.9.2023;Los Angeles;BMO Stadium;03-ene;;;;;;;MLS 2023 J28;;;;;2023610?
822;14.9.2022;Maccabi Haifa;Sammy Ofer;03-ene;1;;;;1;;Liga de Campeones 2022-23 FG;;;-;;2022-23609?
828;25.10.2022;Maccabi Haifa;Parc des Princes;07-feb;2;;;Mbappé (2);2;;Liga de Campeones 2022-23 FG;;;, Carlos Soler;;2022-23609?
4;04/12/2004;Málaga C.F.;Camp Nou;4-06?;-;-;-;-;-;-;La Liga 2004/05 Jornada 14; 81' Oleguer;;-;8;2004/053?
15;26/10/2005;Málaga C.F.;Camp Nou;2-018?;-;-;-;-;-;-;La Liga 2005/06 Jornada 11; 61' Giuly;;-;29;2005/0613?
121;01/11/2008;Málaga C.F.;La Rosaleda;4-1127?;1 (2-1);19;z;;-;-;Liga BBVA 2008/09 Jornada 9; 78';;;;2008/09117?
149;22/03/2009;Málaga C.F.;Camp Nou;6-0;1 (2-0);25;d;Xavi;-;-;Liga BBVA 2008/09 Jornada 28;;;;;2008/09117?
168;26/09/2009;Málaga C.F.;La Rosaleda;2-0;;;-;;1 (1-0);39;Liga BBVA 2009/10 Jornada 5;;;Ibrahimovi?;;2009/10156?
195;27/02/2010;Málaga C.F.;Camp Nou;02-ene;1 (2-1);84;d;Dani Alves;-;-;Liga BBVA 2009/10 Jornada 24;;;;;2009/10156?
242;16/01/2011;Málaga C.F.;Camp Nou;04-ene;;;-;;1;18;Liga BBVA 2010/11 Jornada 19;;;David Villa;;2010/11188?
301;21/01/2012;Málaga C.F.;La Rosaleda;4-1241?;3 (1-0, 3-0, 4-0);33, 51, 81;c, z (2);Adriano, Thiago, Pedro;-;-;LigaBBVA 2011/12 Jornada 1;;;;;2011/12218?
326;02/05/2012;Málaga C.F.;Camp Nou;4-1261?;3 (2-1, 3-1, 4-1);35, 59, 64;p (2), z (2);Iniesta;-;-;Liga BBVA 2011/12 Jornada 20;;;;;2011/12218?
357;13/01/2013;Málaga C.F.;La Rosaleda;03-ene;1 (1-0);27;d;;2;52, 80;Liga BBVA 2012/13 Jornada 19;;;Fábregas, Thiago;;2012/13263?
358;16/01/2013;Málaga C.F.;Camp Nou;02-feb;1 (1-1);29;z;;-;-;Copa del Rey 2012/13 Cuartos Ida;;;;;2012/13263?
360;24/01/2013;Málaga C.F.;La Rosaleda;04-feb;1 (4-2);80;C;Dani Alves;-;-;Copa del Rey 2012/13 Cuartos Vuelta; 82';;;;2012/13263?
401;26/01/2014;Málaga C.F.;Camp Nou;3-0315?;-;-;-;-;1 (2-0);56;Liga BBVA 2013/14 Jornada 21;-;;Pedro;90;2013/14294?
431;24/09/2014;Málaga C.F.;La Rosaleda;0-0346?;-;-;-;-;-;;Liga BBVA 2014/15 Jornada 5;;;-;90;2014/15341?
459;21/02/2015;Málaga C.F.;Camp Nou;0-1;-;-;;;;-;Liga BBVA 2014/15 Jornada 24;;;;90;2014/15341?
487;29/08/2015;Málaga C.F.;Camp Nou;1-0;-;-;;;;-;Liga BBVA 2015/16 Jornada 2;;;;90;2015/16391?
506;23/01/2016;Málaga C.F.;La Rosaleda;2-1408?;1 (2-1);51;d;Adriano;;-;Liga BBVA 2015/16 Jornada 21;;;;90;2015/16391?
573;08/04/2017;Málaga C.F.;La Rosaleda;0-2463?;;;;;;;LaLiga Santander 2016/17 Jornada 31;;Carlos Kameni;;90;2016/17424?
597;21/10/2017;Málaga C.F.;Camp Nou;2-0485?;;;;;1;56;LaLiga Santander 2017-18 Jornada 9;;;Iniesta;90;2017/18475?
407;18/02/2014;Manchester City;Etihad;2-0321?;1 (1-0);54;p;-;-;-;Liga de Campeones 2013/14 1/8 Ida;-;;-;90;2013/14294?
411;12/03/2014;Manchester City;Camp Nou;2-1325?;1 (1-0);67;z;-;-;-;Liga de Campeones 2013/14 1/8 Vuelta;-;;-;90;2013/14294?
460;24/02/2015;Manchester City;Etihad;02-ene;-;-;;;;-;Liga de Campeones 2014/15 1/8 Ida;;;;90;2014/15341?
465;18/03/2015;Manchester City;Camp Nou;1-0;-;-;;;1;31;Liga de Campeones 2014/15 1/8 Vuelta;;;Rakitic;90;2014/15341?
541;19/10/2016;Manchester City;Camp Nou;4-0431?;3 (1-0, 2-0, 3-0);17, 61, 69;z (3);Iniesta (2), Luis Suárez;1;89;Liga de Campeones 2016/17 FG J3;;;Neymar;90;2016/17424?
544;01/11/2016;Manchester City;Etihad;1-3434?;1 (1-0);21;z;Neymar;;;Liga de Campeones 2016/17 FG J4;;;;90;2016/17424?
782;28.9.2021;Manchester City;Parc des Princes;2-0;1 (2-0);74;z;Mbappé;-;-;Liga de Campeones 2021-22 FG;;;;;2021-22
788;24.11.2021;Manchester City;Etihad;01-feb;;;;;;;Liga de Campeones 2021-22 FG;;;-;90;2021-22
105;23/04/2008;Manchester United;Camp Nou;0-0110?;-;-;-;-;-;-;Liga de Campeones 2007/08 SF Ida; 61';;;;2007/0876?
106;29/04/2008;Manchester United;Old Trafford;0-1111?;-;-;-;-;-;-;Liga de Campeones 2007/08 SF Vuelta;;Edwin van der Sar;-;;2007/0876?
161;27/05/2009;Manchester United;Olímpico de Roma;2-0154?;1 (2-0);70;c;Xavi;-;-;Liga de Campeones 2008/09 Final;;;;;2008/09117?
269;28/05/2011;Manchester United;Wembley;3-1216?;1 (2-1);54;z;Iniesta;-;-;Liga de Campeones 2010/11 Final;;;;;2010/11188?
678;10/04/2019;Manchester United;Old Trafford;1-0538?;-;-;-;-;-;-;Liga de Campeones 2018-19 CF Ida;-;;-;90;2018/19512?
679;16/04/2019;Manchester United;Camp Nou;3-0539?;2 (1-0, 2-0);16, 20;z, d;-;-;-;Liga de Campeones 2018-19 CF Vuelta;-;;-;90;2018/19512?
811;14.5.2022;Montpellier H.S.C.;Stade de la Mosson;4-0;2;;;Mbappé (2);;;Ligue 1 2021-22 Jornada 37;;;;;2021-22
815;13.8.2022;Montpellier H.S.C.;Parc des Princes;05-feb;;;;;;;Ligue 1 2022-23 Jornada 2;;;;;2022-23609?
835;1.2.2023;Montpellier H.S.C.;Stade de la Mosson;03-ene;1;;;Fabián Ruiz;;;Ligue 1 2022-23 Jornada 21;;;;;2022-23609?
841;4.3.2023;Nantes;Parc des Princes;04-feb;1;;;;;;Ligue 1 2022-23 Jornada 26;;;;;2022-23609?
860;19.8.2023;Nashville;Geodis Park;1 (10)-1 (9);1;;;;;;Leagues Cup 2023 Final;;;;;2023610?
863;30.8.2023;Nashville;DRV PNK Stadium;0-0;;;;;;;MLS 2023 J27;;;;;2023610?
70;17/06/2007;Nàstic de Tarragona;Nou Estadi;5-174?;2 (2-0, 4-0);35, 51;z (2);Deco;1 (1-0);20;La Liga 2006/07 Jornada 38;;;Puyol;81;2006/0739?
862;26.8.2023;New York Red Bulls;Red Bull Arena;2-0;1;;;Benjamin Cremaschi;;;MLS 2023 J26;;;;;2023610?
846;8.4.2023;Niza;Allianz Riviera;2-0;1;;;Nuno Mendes;;;Ligue 1 2022-23 Jornada 30;;;;;2022-23609?
790;1.12.2021;O.G.C. Niza;Parc des Princes;0-0;;;;;;;Ligue 1 2021-22 Jornada 16;;;;;2021-22
796;31.1.2022;O.G.C. Niza;Parc des Princes;0 (5)-0 (6);;;;;;;Copa de Francia 2021-22 Octavos;;;;;2021-22
802;5.3.2022;O.G.C. Niza;Allianz Riviera;0-1;;;;;;;Ligue 1 2021-22 Jornada 27;;;;90;2021-22
824;1.10.2022;O.G.C. Niza;Parc des Princes;02-ene;1;;TL;;;;Ligue 1 2022-23 Jornada 9;;;;;2022-23609?
596;19/10/2017;Olympiacos;Camp Nou;3-1484?;1 (2-0);61;TL;;1 (3-0);64;Liga de Campeones 2017-18 FG 3;;;Digne;90;2017/18475?
599;31/10/2017;Olympiacos;Georgios Karaiskakis;0-0487?;;;;;;;Liga de Campeones 2017-18 FG J4;;;;90;2017/18475?
73;19/09/2007;Olympique de Lyon;Camp Nou;3-078?;1 (2-0);83;z;Iniesta;-;-;Liga de Campeones 2007/08 J1 FG;;;;;2007/0876?
87;27/11/2007;Olympique de Lyon;Stade Gerland;2-292?;1 (2-1);58;p;;-;-;Liga de Campeones 2007/08 J5 FG;;;;;2007/0876?
143;24/02/2009;Olympique de Lyon;Stade Gerland;01-ene;;;-;;-;-;Liga de Campeones 2008/09 1/8 Ida;;;;;2008/09117?
147;11/03/2009;Olympique de Lyon;Camp Nou;5-2146?;1 (3-0);40;z;Eto'o;-;-;Liga de Campeones 2008/09 1/8 Vuelta;;;;;2008/09117?
781;19.9.2021;Olympique de Lyon;Parc des Princes;02-ene;;;;-;-;-;Ligue 1 2021-22 Jornada 6;;;-;90;2021-22
845;2.4.2023;Olympique de Lyon;Parc des Princes;0-1;;;;;;;Ligue 1 2022-23 Jornada 29;;;;;2022-23609?
785;24.10.2021;Olympique de Marsella;Stade Vélodrome;0-0;;;;;;;Ligue 1 2021-22 Jornada 11;;;-;90;2021-22
807;17.4.2022;Olympique de Marsella;Parc des Princes;02-ene;;;;;;;Ligue 1 2021-22 Jornada 32;;;;;2021-22
826;16.10.2022;Olympique de Marsella;Parc des Princes;1-0;;;;;;;Ligue 1 2022-23 Jornada 11;;;;;2022-23609?
837;8.2.2023;Olympique de Marsella;Stade Vélodrome;01-feb;;;;;;;Copa de Francia 2022-23 1/8;;;;;2022-23609?
840;26.2.2023;Olympique de Marsella;Stade Vélodrome;3-0;1;;;Kylian Mbappé;;;Ligue 1 2022-23 Jornada 25;;;;;2022-23609?
668;19/02/2019;Olympique Lyon;Parc OL;0-0530?;-;-;-;-;-;-;Liga de Campeones 2018-19 1/8 Ida;-;;-;90;2018/19512?
673;13/03/2019;Olympique Lyon;Camp Nou;5-1535?;2 (1-0, 3-1);18, 78;p, d;;2;81, 86;Liga de Campeones 2018-19 1/8 Vuelta;-;;Piqué, Dembélé;90;2018/19512?
823;18.9.2022;Olympique Lyon;Parc OL;1-0;1;;;Neymar;;;Ligue 1 2022-23 Jornada 8;;;;;2022-23609?
856;2.8.2023;Orlando City;DRV PNK Stadium;03-ene;2;;;Robert Taylor, Josef Martínez;;;Leagues Cup 2023 1/16;;;;;2023610?
643;18/09/2018;P.S.V. Eindhoven;Camp Nou;4-0515?;3 (1-0, 3-0, 4-0);32, 77, 87;TL, z, d;Rakitic, Luis Suárez;;;Liga de Campeones 2018-19 FG J1;;;;;2018/19512?
652;28/11/2018;P.S.V. Eindhoven;Philips Stadion;2-1521?;1 (1-0);61;z;Dembélé;1;70;Liga de Campeones 2018-19 FG J5;;;Piqué;;2018/19512?
13;18/10/2005;Panathinaikos;Olímpico de Atenas;0-016?;-;-;-;-;-;-;Liga de Campeones 2005/06 J3 FG; 67' H Larsson;;-;24;2005/0613?
16;02/11/2005;Panathinaikos;Camp Nou;5-019?;1;16;z;-;1 (5-0);65;Liga de Campeones 2005/06 J4 FG;-;;;90;2005/0613?
219;14/09/2010;Panathinaikos;Camp Nou;5-1190?;2 (1-1, 3-1);22, 45;z (2);Xavi, Pedro;1;90+3;Liga de Campeones 2010/11 J1 FG;;;Dani Alves;;2010/11188?
232;24/11/2010;Panathinaikos;Olímpico de Atenas;3-0199?;1;62;z;Adriano;-;-;Liga de Campeones 2010/11 J5 FG;;;;;2010/11188?
374;02/04/2013;París Saint-Germain;Parc des Princes;2-2288?;1 (1-0);38;z;Dani Alves;-;-;Liga de Campeones 2012/13 CF Ida; 45';;;;2012/13263?
375;10/04/2013;París Saint-Germain;Camp Nou;1-1289?;;;-;;-;-;Liga de Campeones 2012/13 CF Vuelta; 61';;;;2012/13263?
433;30/09/2014;París Saint-Germain;Parc des Princes;2-3348?;1 (1-1);12;z;Iniesta;-;;Liga de Campeones 2014/15 FG;-;;-;90;2014/15341?
445;10/12/2014;París Saint-Germain;Camp Nou;3-1360?;1 (1-1);19;d;Suárez;-;-;Liga de Campeones 2014/15 FG;-;;-;90;2014/15341?
470;15/04/2015;Paris Saint-Germain;Parc des Princes;3-1379?;-;-;;;1 (1-0);18;Liga de Campeones 2014/15 CF Ida;;;Neymar;90;2014/15341?
472;21/04/2015;Paris Saint-Germain;Camp Nou;2-0381?;-;-;;;;-;Liga de Campeones 2014/15 CF Vuelta;;;;90;2014/15341?
564;14/02/2017;París Saint-Germain;Parc des Princes;0-4454?;;;;;;;Liga de Campeones 2016-17 1/8 Ida;;;;90;2016/17424?
569;09/03/2017;París Saint-Germain;Camp Nou;6-1459?;1 (3-0);50;z;;;;Liga de Campeones 2016-17 1/8 Vuelta;;;;90;2016/17424?
760;16.2.2021;Paris Saint-Germain;Camp Nou;1-4595?;1;27;p;;;;Liga de Campeones 2020-21 1/8 Ida;;;;90;2020/21578?
766;10.3.2021;Paris Saint-Germain;Parc des Princes;1-1601?;1;37;z;Pedri;;;Liga de Campeones 2020-21 1/8 Vuelta;;;;90;2020/21578?
859;16.8.2023;Philadelphia Union;Subaru Park;04-ene;1;;;Josef Martínez;;;Leagues Cup 2023 Semifinales;;;;;2023610?
1;16/10/2004;R. C. D. Espanyol;Lluís Companys;1-02?;-;-;-;-;-;-;La Liga 2004/05 Jornada 7; 83' Deco;;;7;2004/053?
24;07/01/2006;R. C. D. Espanyol;Lluís Companys;2-127?;-;-;-;-;;-;La Liga 2005/06 Jornada 18; 78';;;77;2005/0613?
35;19/08/2006;R. C. D. Espanyol;Lluís Companys;1-038?;-;;-;-;-;-;Supercopa de España 2006 Ida; 60';;;31;2006/0739?
36;20/08/2006;R. C. D. Espanyol;Camp Nou;3-040?;-;;-;-;-;-;Supercopa de España 2006 Vuelta;;;;90;2006/0739?
69;09/06/2007;R. C. D. Espanyol;Camp Nou;2-273?;2;43, 57;m, d;Deco;-;-;La Liga 2006/07 Jornada 37;;;;90;2006/0739?
88;01/12/2007;R. C. D. Espanyol;Lluís Companys;1-193?;;;-;;1 (1-0);6;La Liga 2007/08 Jornada 14;;;Iniesta;;2007/0876?
104;19/04/2008;R. C. D. Espanyol;Camp Nou;0-0109?;-;-;-;-;-;-;La Liga 2007/08 Jornada 33;  45';;-;;2007/0876?
116;27/09/2008;R. C. D. Espanyol;Lluís Companys;2-1122?;1 (2-1);90+3;p;Eto'o;-;-;Liga BBVA 2008/09 Jornada 5;;;;;2008/09117?
135;21/01/2009;R. C. D. Espanyol;Lluís Companys;0-0141?;-;-;-;-;-;-;Copa del Rey 2008/09 Cuartos Ida; 74';;-;;2008/09117?
137;29/01/2009;R. C. D. Espanyol;Camp Nou;03-feb;;;-;;-;-;Copa del Rey 2008/09 Cuartos Vuelta;;;;;2008/09117?
142;21/02/2009;R. C. D. Espanyol;Camp Nou;01-feb;;;-;;-;-;Liga BBVA 2008/09 Jornada 24;;;;;2008/09117?
207;17/04/2010;R. C. D. Espanyol;Cornellá-El Prat;0-0;-;-;-;-;-;-;Liga BBVA 2009/10 Jornada 33;;;-;;2009/10156?
237;18/12/2010;R. C. D. Espanyol;Cornellá-El Prat;05-ene;;;-;;2 (1-0,);19, 76;Liga BBVA 2010/11 Jornada 16;;;Pedro, Villa;;2010/11188?
267;08/05/2011;R. C. D. Espanyol;Camp Nou;2-0;;;-;;-;-;Liga BBVA 2010/11 Jornada 35;;;;;2010/11188?
297;08/01/2012;R. C. D. Espanyol;Cornellá-El Prat;1-1238?;;;-;;-;-;Liga BBVA 2011/12 Jornada 18;;;;;2011/12218?
327;05/05/2012;R. C. D. Espanyol;Camp Nou;4-0262?;4;12, 64, 74, 79;TL, pz, p;Adriano;-;-;Liga BBVA 2011/12 Jornada 37;;;;;2011/12218?
356;06/01/2013;R. C. D. Espanyol;Camp Nou;4-0;1 (4-0);29;p;;1;15;Liga BBVA 2012/13 Jornada 18;;;Pedro;;2012/13263?
393;01/11/2013;R. C. D. Espanyol;Camp Nou;1-0307?;-;-;-;-;-;-;Liga BBVA 2013/14 Jornada 12;-;;-;90;2013/14294?
415;29/03/2014;R. C. D. Espanyol;Cornellá-El Prat;1-0329?;1;77;p;;-;-;Liga BBVA 2013/14 Jornada 31;-;;-;90;2013/14294?
444;07/12/2014;R. C. D. Espanyol;Camp Nou;5-1359?;3 (1-1, 2-1,);45,50,81;z (3);Xavi, Suárez, Pedro;-;-;Liga BBVA 2014/15 Jornada 14;-;;-;90;2014/15341?
473;25/04/2015;R. C. D. Espanyol;Cornellá-El Prat;2-0382?;1 (2-0);25;z;Luis Suárez;;-;Liga BBVA 2014/15 Jornada 33;;;;90;2014/15341?
501;02/01/2016;R. C. D. Espanyol;Cornellá-El Prat;0-0;-;-;;;;-;Liga BBVA 2015/16 Jornada 18;;;;90;2015/16391?
502;06/01/2016;R. C. D. Espanyol;Camp Nou;4-1405?;2 (1-1, 2-1);13, 44;z, TL;Iniesta;2;49, 88;Copa del Rey 2015/16 Octavos Ida;;;Piqué, Neymar;90;2015/16391?
504;13/01/2016;R. C. D. Espanyol;Cornellá-El Prat;2-0407?;-;-;;;1;32;Copa del Rey 2015/16 Octavos Vuelta;;;Munir;90;2015/16391?
529;08/05/2016;R. C. D. Espanyol;Camp Nou;5-0;1 (1-0);8;TL;;1;52;Liga BBVA 2015/16 Jornada 37;;;Luis Suárez;90;2015/16391?
579;29/04/2017;R. C. D. Espanyol;Cornellá-El Prat;3-0469?;;;;;1;76;LaLiga Santander 2016/17 Jornada 35;;;Rakitic;90;2016/17424?
588;09/09/2017;R. C. D. Espanyol;Camp Nou;5-0478?;3 (1-0, 2-0, 3-0);26, 35, 66;z, d, z;Rakiti? (2), Jordi Alba;;;LaLiga Santander 2017-18 Jornada 3;;;;90;2017/18475?
612;17/01/2018;R. C. D. Espanyol;Cornellá-El Prat;0-1;;;;;;;Copa del Rey 2017-18 Cuartos Ida;;;Paulinho;90;2017/18475?
614;25/01/2018;R. C. D. Espanyol;Camp Nou;2-0;1 (2-0);;;;;;Copa del Rey 2017-18 Cuartos Vuelta; 27';;;90;2017/18475?
617;04/02/2018;R. C. D. Espanyol;Cornellá-El Prat;1-1497?;;;;;1;82;LaLiga Santander 2017-18 Jornada 22;;;Piqué;31;2017/18475?
654;08/12/2018;R. C. D. Espanyol;Cornellá-El Prat;4-0;2 (1-0, 4-0);18, 65;TL, TL;;1 (2-0);26;LaLiga Santander 2018-19 Jornada 15;;;Dembélé;;2018/19512?
675;30/03/2019;R. C. D. Espanyol;Camp Nou;2-0;2;71, 89;TL, z;Malcom;-;-;LaLiga Santander 2018-19 Jornada 29;-;;-;90;2018/19512?
706;04/01/2020;R. C. D. Espanyol;Cornellá;2-2558?;-;-;-;-;-;-;LaLiga Santander 2019-20 Jornada 19;-;;-;90;2019/20544?
726;08/07/2020;R. C. D. Espanyol;Camp Nou;1-0;;;;;;;LaLiga Santander 2019-20 Jornada 35;;;;;2019/20544?
28;29/01/2006;R. C. D. Mallorca;Son Moix;3-031?;2 (2-0, 3-0);75, 81;d, z;Sylvinho, Ronaldinho;;-;La Liga 2005/06 Jornada 21; 73';;;19;2005/0613?
61;15/04/2007;R. C. D. Mallorca;Camp Nou;1-065?;-;-;-;-;-;-;La Liga 2006/07 Jornada 30;;;;90;2006/0739?
109;11/05/2008;R. C. D. Mallorca;Camp Nou;2-3114?;;;-;;-;-;La Liga 2007/08 Jornada 37; 62';;;;2007/0876?
139;05/02/2009;R. C. D. Mallorca;Camp Nou;2-0;;;-;;-;-;Copa del Rey 2008/09 Semifinales Ida; 55';;;;2008/09117?
145;04/03/2009;R. C. D. Mallorca;Ono Estadi;01-ene;1;81;z;;-;-;Copa del Rey 2008/09 Semifinales Vuelta; 58';;;;2008/09117?
176;07/11/2009;R. C. D. Mallorca;Camp Nou;04-feb;1 (4-1);87;p;;-;-;Liga BBVA 2009/10 Jornada 10; 50';;;;2009/10156?
201;27/03/2010;R. C. D. Mallorca;Ono Estadi;1-0;;;-;;-;-;Liga BBVA 2009/10 Jornada 29; 50';;;;2009/10156?
222;03/10/2010;R. C. D. Mallorca;Camp Nou;01-ene;1;21;z;Pedro;-;-;Liga BBVA 2010/11 Jornada 6;;;;;2010/11188?
251;26/02/2011;R. C. D. Mallorca;Iberostar Estadi;3-0;1 (1-0);38;C;Keita;-;-;Liga BBVA 2010/11 Jornada 25;;;;;2010/11188?
285;29/10/2011;R. C. D. Mallorca;Camp Nou;5-0229?;3 (1-0, 2-0, 3-0);13, 21, 30;p, z, d;Adriano, Dani Alves;1;90+1;Liga BBVA 2011/12 Jornada 11;;;Dani Alves;;2011/12218?
315;24/03/2012;R. C. D. Mallorca;Iberostar Estadi;2-0;1 (1-0);25;TL;;-;-;Liga BBVA 2011/12 Jornada 30;;;;;2011/12218?
